algorithm,heap_type,graph_source,graph_family,graph_size,graph_parameters,seed,start_vertex,output_value,comparison_count,cut_count,decrease_key_count,distance_checksum,edge_scan_count,extract_min_count,graph_average_degree,graph_directed,graph_maximum_degree,graph_num_edges,graph_num_vertices,insert_count,link_count,meld_count,mst_weight,node_allocation_count,peak_size,pointer_traversal_count,reachable_output_count,reachable_vertex_count,relax_attempt_count,successful_decrease_key_count,successful_key_update_count,successful_relax_count,swap_count,visited_vertex_count
dijkstra,binary,snap,snap_roadNet-CA,11183,"dataset=roadNet-CA,component=largest,max_edges=50000",1,11182,12000543.0,171395,0,2522,12000543.0,35750,11183,3.1968165966198696,False,8,17875,11183,11183,0,0,,0,314,0,11183,11183,17875,2522,,13704,78674,
dijkstra,pairing,snap,snap_roadNet-CA,11183,"dataset=roadNet-CA,component=largest,max_edges=50000",1,11182,12000543.0,139210,2522,2522,12000543.0,35750,11183,3.1968165966198696,False,8,17875,11183,11183,136688,136688,,11183,314,137124,11183,11183,17875,2522,,13704,0,
dijkstra,fibonacci,snap,snap_roadNet-CA,11183,"dataset=roadNet-CA,component=largest,max_edges=50000",1,11182,12000543.0,204369,1012,2522,12000543.0,35750,11183,3.1968165966198696,False,8,17875,11183,11183,73922,0,,11183,314,466568,11183,11183,17875,2522,,13704,0,
prim,binary,snap,snap_roadNet-CA,11183,"dataset=roadNet-CA,component=largest,max_edges=50000",1,0,233120.0,273470,0,4739,,35750,11183,3.1968165966198696,False,8,17875,11183,11183,0,0,233120.0,0,1100,0,,,,4739,15921,,166918,11183
prim,pairing,snap,snap_roadNet-CA,11183,"dataset=roadNet-CA,component=largest,max_edges=50000",1,0,233120.0,58130,4552,4739,,35750,11183,3.1968165966198696,False,8,17875,11183,11183,53391,53391,233120.0,11183,1100,54631,,,,4739,15921,,0,11183
prim,fibonacci,snap,snap_roadNet-CA,11183,"dataset=roadNet-CA,component=largest,max_edges=50000",1,0,233120.0,126631,3436,4739,,35750,11183,3.1968165966198696,False,8,17875,11183,11183,26912,0,233120.0,11183,1100,256402,,,,4739,15921,,0,11183
dijkstra,binary,snap,snap_roadNet-CA,11183,"dataset=roadNet-CA,component=largest,max_edges=50000",2,0,11038831.0,172307,0,2518,11038831.0,35750,11183,3.1968165966198696,False,8,17875,11183,11183,0,0,,0,386,0,11183,11183,17875,2518,,13700,79116,
dijkstra,pairing,snap,snap_roadNet-CA,11183,"dataset=roadNet-CA,component=largest,max_edges=50000",2,0,11038831.0,139873,2518,2518,11038831.0,35750,11183,3.1968165966198696,False,8,17875,11183,11183,137355,137355,,11183,386,137966,11183,11183,17875,2518,,13700,0,
dijkstra,fibonacci,snap,snap_roadNet-CA,11183,"dataset=roadNet-CA,component=largest,max_edges=50000",2,0,11038831.0,204136,979,2518,11038831.0,35750,11183,3.1968165966198696,False,8,17875,11183,11183,73470,0,,11183,386,465729,11183,11183,17875,2518,,13700,0,
dijkstra,binary,snap,snap_roadNet-CA,11183,"dataset=roadNet-CA,component=largest,max_edges=50000",2,5591,11804468.0,172482,0,2498,11804468.0,35750,11183,3.1968165966198696,False,8,17875,11183,11183,0,0,,0,323,0,11183,11183,17875,2498,,13680,79179,
dijkstra,pairing,snap,snap_roadNet-CA,11183,"dataset=roadNet-CA,component=largest,max_edges=50000",2,5591,11804468.0,140576,2498,2498,11804468.0,35750,11183,3.1968165966198696,False,8,17875,11183,11183,138078,138078,,11183,323,138790,11183,11183,17875,2498,,13680,0,
dijkstra,fibonacci,snap,snap_roadNet-CA,11183,"dataset=roadNet-CA,component=largest,max_edges=50000",2,5591,11804468.0,204986,1002,2498,11804468.0,35750,11183,3.1968165966198696,False,8,17875,11183,11183,74459,0,,11183,323,468540,11183,11183,17875,2498,,13680,0,
dijkstra,binary,snap,snap_roadNet-CA,11183,"dataset=roadNet-CA,component=largest,max_edges=50000",2,11182,12931752.0,170639,0,2435,12931752.0,35750,11183,3.1968165966198696,False,8,17875,11183,11183,0,0,,0,312,0,11183,11183,17875,2435,,13617,78298,
dijkstra,pairing,snap,snap_roadNet-CA,11183,"dataset=roadNet-CA,component=largest,max_edges=50000",2,11182,12931752.0,138639,2435,2435,12931752.0,35750,11183,3.1968165966198696,False,8,17875,11183,11183,136204,136204,,11183,312,136741,11183,11183,17875,2435,,13617,0,
dijkstra,fibonacci,snap,snap_roadNet-CA,11183,"dataset=roadNet-CA,component=largest,max_edges=50000",2,11182,12931752.0,202632,991,2435,12931752.0,35750,11183,3.1968165966198696,False,8,17875,11183,11183,73737,0,,11183,312,463409,11183,11183,17875,2435,,13617,0,
prim,binary,snap,snap_roadNet-CA,11183,"dataset=roadNet-CA,component=largest,max_edges=50000",2,0,236785.0,281351,0,4710,,35750,11183,3.1968165966198696,False,8,17875,11183,11183,0,0,236785.0,0,1154,0,,,,4710,15892,,171909,11183
prim,pairing,snap,snap_roadNet-CA,11183,"dataset=roadNet-CA,component=largest,max_edges=50000",2,0,236785.0,58801,4543,4710,,35750,11183,3.1968165966198696,False,8,17875,11183,11183,54091,54091,236785.0,11183,1154,55056,,,,4710,15892,,0,11183
prim,fibonacci,snap,snap_roadNet-CA,11183,"dataset=roadNet-CA,component=largest,max_edges=50000",2,0,236785.0,125252,3413,4710,,35750,11183,3.1968165966198696,False,8,17875,11183,11183,27863,0,236785.0,11183,1154,254608,,,,4710,15892,,0,11183
dijkstra,binary,snap,snap_roadNet-CA,11183,"dataset=roadNet-CA,component=largest,max_edges=50000",3,0,11261321.0,171810,0,2546,11261321.0,35750,11183,3.1968165966198696,False,8,17875,11183,11183,0,0,,0,381,0,11183,11183,17875,2546,,13728,78748,
dijkstra,pairing,snap,snap_roadNet-CA,11183,"dataset=roadNet-CA,component=largest,max_edges=50000",3,0,11261321.0,139411,2546,2546,11261321.0,35750,11183,3.1968165966198696,False,8,17875,11183,11183,136865,136865,,11183,381,137497,11183,11183,17875,2546,,13728,0,
dijkstra,fibonacci,snap,snap_roadNet-CA,11183,"dataset=roadNet-CA,component=largest,max_edges=50000",3,0,11261321.0,203475,1032,2546,11261321.0,35750,11183,3.1968165966198696,False,8,17875,11183,11183,73382,0,,11183,381,464110,11183,11183,17875,2546,,13728,0,
dijkstra,binary,snap,snap_roadNet-CA,11183,"dataset=roadNet-CA,component=largest,max_edges=50000",3,5591,12098820.0,172349,0,2568,12098820.0,35750,11183,3.1968165966198696,False,8,17875,11183,11183,0,0,,0,347,0,11183,11183,17875,2568,,13750,79168,
dijkstra,pairing,snap,snap_roadNet-CA,11183,"dataset=roadNet-CA,component=largest,max_edges=50000",3,5591,12098820.0,139932,2568,2568,12098820.0,35750,11183,3.1968165966198696,False,8,17875,11183,11183,137364,137364,,11183,347,137730,11183,11183,17875,2568,,13750,0,
dijkstra,fibonacci,snap,snap_roadNet-CA,11183,"dataset=roadNet-CA,component=largest,max_edges=50000",3,5591,12098820.0,204393,1055,2568,12098820.0,35750,11183,3.1968165966198696,False,8,17875,11183,11183,74506,0,,11183,347,466825,11183,11183,17875,2568,,13750,0,
dijkstra,binary,snap,snap_roadNet-CA,11183,"dataset=roadNet-CA,component=largest,max_edges=50000",3,11182,13108986.0,171095,0,2487,13108986.0,35750,11183,3.1968165966198696,False,8,17875,11183,11183,0,0,,0,379,0,11183,11183,17875,2487,,13669,78649,
dijkstra,pairing,snap,snap_roadNet-CA,11183,"dataset=roadNet-CA,component=largest,max_edges=50000",3,11182,13108986.0,139119,2487,2487,13108986.0,35750,11183,3.1968165966198696,False,8,17875,11183,11183,136632,136632,,11183,379,137280,11183,11183,17875,2487,,13669,0,
dijkstra,fibonacci,snap,snap_roadNet-CA,11183,"dataset=roadNet-CA,component=largest,max_edges=50000",3,11182,13108986.0,202782,1011,2487,13108986.0,35750,11183,3.1968165966198696,False,8,17875,11183,11183,73287,0,,11183,379,462979,11183,11183,17875,2487,,13669,0,
prim,binary,snap,snap_roadNet-CA,11183,"dataset=roadNet-CA,component=largest,max_edges=50000",3,0,234346.0,276967,0,4731,,35750,11183,3.1968165966198696,False,8,17875,11183,11183,0,0,234346.0,0,1122,0,,,,4731,15913,,169052,11183
prim,pairing,snap,snap_roadNet-CA,11183,"dataset=roadNet-CA,component=largest,max_edges=50000",3,0,234346.0,58768,4565,4731,,35750,11183,3.1968165966198696,False,8,17875,11183,11183,54037,54037,234346.0,11183,1122,55318,,,,4731,15913,,0,11183
prim,fibonacci,snap,snap_roadNet-CA,11183,"dataset=roadNet-CA,component=largest,max_edges=50000",3,0,234346.0,126674,3479,4731,,35750,11183,3.1968165966198696,False,8,17875,11183,11183,27462,0,234346.0,11183,1122,256842,,,,4731,15913,,0,11183
dijkstra,binary,snap,snap_roadNet-CA,11183,"dataset=roadNet-CA,component=largest,max_edges=50000",4,0,11313577.0,170921,0,2493,11313577.0,35750,11183,3.1968165966198696,False,8,17875,11183,11183,0,0,,0,390,0,11183,11183,17875,2493,,13675,78377,
dijkstra,pairing,snap,snap_roadNet-CA,11183,"dataset=roadNet-CA,component=largest,max_edges=50000",4,0,11313577.0,138687,2493,2493,11313577.0,35750,11183,3.1968165966198696,False,8,17875,11183,11183,136194,136194,,11183,390,136942,11183,11183,17875,2493,,13675,0,
dijkstra,fibonacci,snap,snap_roadNet-CA,11183,"dataset=roadNet-CA,component=largest,max_edges=50000",4,0,11313577.0,201908,1023,2493,11313577.0,35750,11183,3.1968165966198696,False,8,17875,11183,11183,72833,0,,11183,390,460714,11183,11183,17875,2493,,13675,0,
dijkstra,binary,snap,snap_roadNet-CA,11183,"dataset=roadNet-CA,component=largest,max_edges=50000",4,5591,12530559.0,172189,0,2498,12530559.0,35750,11183,3.1968165966198696,False,8,17875,11183,11183,0,0,,0,348,0,11183,11183,17875,2498,,13680,78951,
dijkstra,pairing,snap,snap_roadNet-CA,11183,"dataset=roadNet-CA,component=largest,max_edges=50000",4,5591,12530559.0,140224,2498,2498,12530559.0,35750,11183,3.1968165966198696,False,8,17875,11183,11183,137726,137726,,11183,348,138177,11183,11183,17875,2498,,13680,0,
dijkstra,fibonacci,snap,snap_roadNet-CA,11183,"dataset=roadNet-CA,component=largest,max_edges=50000",4,5591,12530559.0,204104,999,2498,12530559.0,35750,11183,3.1968165966198696,False,8,17875,11183,11183,73225,0,,11183,348,465503,11183,11183,17875,2498,,13680,0,
