graph_source,graph_family,graph_size,graph_num_edges,graph_average_degree,graph_maximum_degree,graph_parameters,seed,algorithm,heap_type,start_vertex,output_value,runtime_ms,mean_runtime_ms,median_runtime_ms,min_runtime_ms,max_runtime_ms,repeats,runtime_measurement,rss_measurement,max_rss_kbytes,median_max_rss_kbytes,reachable_vertex_count,visited_vertex_count,edge_scan_count,relax_attempt_count,successful_relax_count,successful_key_update_count,priority_queue_memory_bytes
synthetic,sparse_er_nm,50,150,6,12,"n=50,m=150",0,prim,fibonacci,0,1149,0.037517,0.047607,0.037517,0.025405,0.079899,3,in_process_steady_clock,child_process_wait4,22136,22136,,50,300,,,104,3712
synthetic,sparse_er_nm,100,300,6,10,"n=100,m=300",0,dijkstra,binary,0,6830,0.044748,0.0538357,0.044748,0.031827,0.084932,3,in_process_steady_clock,child_process_wait4,22136,22136,100,,600,300,145,,1424
synthetic,sparse_er_nm,100,300,6,10,"n=100,m=300",0,dijkstra,pairing,0,6830,0.074549,0.0853387,0.074549,0.061298,0.120169,3,in_process_steady_clock,child_process_wait4,22136,22136,100,,600,300,145,,5600
synthetic,sparse_er_nm,100,300,6,10,"n=100,m=300",0,dijkstra,fibonacci,0,6830,0.088976,0.0964033,0.088976,0.070394,0.12984,3,in_process_steady_clock,child_process_wait4,22136,22136,100,,600,300,145,,6912
synthetic,sparse_er_nm,100,300,6,10,"n=100,m=300",0,dijkstra,binary,50,12383,0.045703,0.052237,0.045703,0.032261,0.078747,3,in_process_steady_clock,child_process_wait4,22136,22136,100,,600,300,145,,1424
synthetic,sparse_er_nm,100,300,6,10,"n=100,m=300",0,dijkstra,pairing,50,12383,0.074271,0.0836643,0.074271,0.061083,0.115639,3,in_process_steady_clock,child_process_wait4,22136,22136,100,,600,300,145,,5600
synthetic,sparse_er_nm,100,300,6,10,"n=100,m=300",0,dijkstra,fibonacci,50,12383,0.091206,0.0960217,0.091206,0.068409,0.12845,3,in_process_steady_clock,child_process_wait4,22136,22136,100,,600,300,145,,6912
synthetic,sparse_er_nm,100,300,6,10,"n=100,m=300",0,dijkstra,binary,99,7885,0.045381,0.052269,0.045381,0.031364,0.080062,3,in_process_steady_clock,child_process_wait4,22136,22136,100,,600,300,150,,1424
synthetic,sparse_er_nm,100,300,6,10,"n=100,m=300",0,dijkstra,pairing,99,7885,0.074951,0.0836873,0.074951,0.063238,0.112873,3,in_process_steady_clock,child_process_wait4,22136,22136,100,,600,300,150,,5600
synthetic,sparse_er_nm,100,300,6,10,"n=100,m=300",0,dijkstra,fibonacci,99,7885,0.081947,0.0946507,0.081947,0.071087,0.130918,3,in_process_steady_clock,child_process_wait4,22136,22136,100,,600,300,150,,6912
synthetic,sparse_er_nm,100,300,6,10,"n=100,m=300",0,prim,binary,0,2235,0.050829,0.057962,0.050829,0.034816,0.088241,3,in_process_steady_clock,child_process_wait4,22136,22136,,100,600,,,192,1424
synthetic,sparse_er_nm,100,300,6,10,"n=100,m=300",0,prim,pairing,0,2235,0.064818,0.0748327,0.064818,0.051963,0.107717,3,in_process_steady_clock,child_process_wait4,22136,22136,,100,600,,,192,5600
synthetic,sparse_er_nm,100,300,6,10,"n=100,m=300",0,prim,fibonacci,0,2235,0.08145,0.090588,0.08145,0.066479,0.123835,3,in_process_steady_clock,child_process_wait4,22136,22136,,100,600,,,192,6912
synthetic,medium_er_np,25,71,5.68,8,"n=25,p=0.2",0,dijkstra,binary,0,2010,0.012727,0.017644,0.012727,0.006403,0.033802,3,in_process_steady_clock,child_process_wait4,22136,22136,25,,142,71,35,,612
synthetic,medium_er_np,25,71,5.68,8,"n=25,p=0.2",0,dijkstra,pairing,0,2010,0.015908,0.0230693,0.015908,0.010875,0.042425,3,in_process_steady_clock,child_process_wait4,22136,22136,25,,142,71,35,,1400
synthetic,medium_er_np,25,71,5.68,8,"n=25,p=0.2",0,dijkstra,fibonacci,0,2010,0.016295,0.0243123,0.016295,0.010294,0.046348,3,in_process_steady_clock,child_process_wait4,22136,22136,25,,142,71,35,,2112
synthetic,medium_er_np,25,71,5.68,8,"n=25,p=0.2",0,dijkstra,binary,12,1963,0.009857,0.0147023,0.009857,0.005407,0.028843,3,in_process_steady_clock,child_process_wait4,22136,22136,25,,142,71,35,,356
synthetic,medium_er_np,25,71,5.68,8,"n=25,p=0.2",0,dijkstra,pairing,12,1963,0.0174,0.023511,0.0174,0.011001,0.042132,3,in_process_steady_clock,child_process_wait4,22136,22136,25,,142,71,35,,1400
synthetic,medium_er_np,25,71,5.68,8,"n=25,p=0.2",0,dijkstra,fibonacci,12,1963,0.019896,0.0281787,0.019896,0.010397,0.054243,3,in_process_steady_clock,child_process_wait4,22136,22136,25,,142,71,35,,2112
synthetic,medium_er_np,25,71,5.68,8,"n=25,p=0.2",0,dijkstra,binary,24,2292,0.011263,0.0151273,0.011263,0.005788,0.028331,3,in_process_steady_clock,child_process_wait4,22136,22136,25,,142,71,33,,356
synthetic,medium_er_np,25,71,5.68,8,"n=25,p=0.2",0,dijkstra,pairing,24,2292,0.01566,0.0221527,0.01566,0.010104,0.040694,3,in_process_steady_clock,child_process_wait4,22136,22136,25,,142,71,33,,1400
synthetic,medium_er_np,25,71,5.68,8,"n=25,p=0.2",0,dijkstra,fibonacci,24,2292,0.016237,0.0246957,0.016237,0.01021,0.04764,3,in_process_steady_clock,child_process_wait4,22136,22136,25,,142,71,33,,2112
synthetic,medium_er_np,25,71,5.68,8,"n=25,p=0.2",0,prim,binary,0,672,0.012141,0.015917,0.012141,0.006091,0.029519,3,in_process_steady_clock,child_process_wait4,22136,22136,,25,142,,,51,356
synthetic,medium_er_np,25,71,5.68,8,"n=25,p=0.2",0,prim,pairing,0,672,0.015796,0.021106,0.015796,0.009496,0.038026,3,in_process_steady_clock,child_process_wait4,22136,22136,,25,142,,,51,1400
synthetic,medium_er_np,25,71,5.68,8,"n=25,p=0.2",0,prim,fibonacci,0,672,0.01511,0.027453,0.01511,0.012294,0.054955,3,in_process_steady_clock,child_process_wait4,22136,22136,,25,142,,,51,2112
synthetic,medium_er_np,50,199,7.96,15,"n=50,p=0.12",0,dijkstra,binary,0,2575,0.02325,0.031972,0.02325,0.015346,0.05732,3,in_process_steady_clock,child_process_wait4,22136,22136,50,,398,199,93,,1224
synthetic,medium_er_np,50,199,7.96,15,"n=50,p=0.12",0,dijkstra,pairing,0,2575,0.037944,0.0479687,0.037944,0.029433,0.076529,3,in_process_steady_clock,child_process_wait4,22136,22136,50,,398,199,93,,2800
synthetic,medium_er_np,50,199,7.96,15,"n=50,p=0.12",0,dijkstra,fibonacci,0,2575,0.041384,0.0543973,0.041384,0.0389,0.082908,3,in_process_steady_clock,child_process_wait4,22136,22136,50,,398,199,93,,3712
synthetic,medium_er_np,50,199,7.96,15,"n=50,p=0.12",0,dijkstra,binary,25,2791,0.02329,0.0294207,0.02329,0.01461,0.050362,3,in_process_steady_clock,child_process_wait4,22136,22136,50,,398,199,83,,712
synthetic,medium_er_np,50,199,7.96,15,"n=50,p=0.12",0,dijkstra,pairing,25,2791,0.037844,0.044737,0.037844,0.026696,0.069671,3,in_process_steady_clock,child_process_wait4,22136,22136,50,,398,199,83,,2800
synthetic,medium_er_np,50,199,7.96,15,"n=50,p=0.12",0,dijkstra,fibonacci,25,2791,0.039698,0.0500883,0.039698,0.027463,0.083104,3,in_process_steady_clock,child_process_wait4,22136,22136,50,,398,199,83,,3712
synthetic,medium_er_np,50,199,7.96,15,"n=50,p=0.12",0,dijkstra,binary,49,2494,0.025018,0.0319867,0.025018,0.015918,0.055024,3,in_process_steady_clock,child_process_wait4,22136,22136,50,,398,199,93,,1224
synthetic,medium_er_np,50,199,7.96,15,"n=50,p=0.12",0,dijkstra,pairing,49,2494,0.039252,0.0481827,0.039252,0.028262,0.077034,3,in_process_steady_clock,child_process_wait4,22136,22136,50,,398,199,93,,2800
synthetic,medium_er_np,50,199,7.96,15,"n=50,p=0.12",0,dijkstra,fibonacci,49,2494,0.041446,0.050238,0.041446,0.028123,0.081145,3,in_process_steady_clock,child_process_wait4,22136,22136,50,,398,199,93,,3712
synthetic,medium_er_np,50,199,7.96,15,"n=50,p=0.12",0,prim,binary,0,737,0.027991,0.0348127,0.027991,0.017475,0.058972,3,in_process_steady_clock,child_process_wait4,22136,22136,,50,398,,,117,1224
