algorithm,heap_type,graph_source,graph_family,graph_size,graph_parameters,seed,start_vertex,output_value,comparison_count,cut_count,decrease_key_count,distance_checksum,edge_scan_count,extract_min_count,graph_average_degree,graph_directed,graph_maximum_degree,graph_num_edges,graph_num_vertices,insert_count,link_count,meld_count,mst_weight,node_allocation_count,peak_size,pointer_traversal_count,reachable_output_count,reachable_vertex_count,relax_attempt_count,successful_decrease_key_count,successful_key_update_count,successful_relax_count,swap_count,visited_vertex_count
dijkstra,binary,snap,snap_ca-GrQc,4158,"dataset=ca-GrQc,component=largest,max_edges=50000",1,4157,614961.0,83700,0,2268,614961.0,26844,4158,6.455988455988456,False,81,13422,4158,4158,0,0,,0,1431,0,4158,4158,13422,2268,,6425,38763,
dijkstra,pairing,snap,snap_ca-GrQc,4158,"dataset=ca-GrQc,component=largest,max_edges=50000",1,4157,614961.0,67349,2266,2268,614961.0,26844,4158,6.455988455988456,False,81,13422,4158,4158,65081,65081,,4158,1431,65612,4158,4158,13422,2268,,6425,0,
dijkstra,fibonacci,snap,snap_ca-GrQc,4158,"dataset=ca-GrQc,component=largest,max_edges=50000",1,4157,614961.0,99047,827,2268,614961.0,26844,4158,6.455988455988456,False,81,13422,4158,4158,35029,0,,4158,1431,218865,4158,4158,13422,2268,,6425,0,
prim,binary,snap,snap_ca-GrQc,4158,"dataset=ca-GrQc,component=largest,max_edges=50000",1,0,72914.0,101066,0,3187,,26844,4158,6.455988455988456,False,81,13422,4158,4158,0,0,72914.0,0,1469,0,,,,3187,7344,,55586,4158
prim,pairing,snap,snap_ca-GrQc,4158,"dataset=ca-GrQc,component=largest,max_edges=50000",1,0,72914.0,44795,3139,3187,,26844,4158,6.455988455988456,False,81,13422,4158,4158,41608,41608,72914.0,4158,1469,44819,,,,3187,7344,,0,4158
prim,fibonacci,snap,snap_ca-GrQc,4158,"dataset=ca-GrQc,component=largest,max_edges=50000",1,0,72914.0,75634,1907,3187,,26844,4158,6.455988455988456,False,81,13422,4158,4158,21865,0,72914.0,4158,1469,154277,,,,3187,7344,,0,4158
dijkstra,binary,snap,snap_ca-GrQc,4158,"dataset=ca-GrQc,component=largest,max_edges=50000",2,0,380992.0,84584,0,2282,380992.0,26844,4158,6.455988455988456,False,81,13422,4158,4158,0,0,,0,1491,0,4158,4158,13422,2282,,6439,39281,
dijkstra,pairing,snap,snap_ca-GrQc,4158,"dataset=ca-GrQc,component=largest,max_edges=50000",2,0,380992.0,68276,2282,2282,380992.0,26844,4158,6.455988455988456,False,81,13422,4158,4158,65994,65994,,4158,1491,66514,4158,4158,13422,2282,,6439,0,
dijkstra,fibonacci,snap,snap_ca-GrQc,4158,"dataset=ca-GrQc,component=largest,max_edges=50000",2,0,380992.0,100012,859,2282,380992.0,26844,4158,6.455988455988456,False,81,13422,4158,4158,35095,0,,4158,1491,220729,4158,4158,13422,2282,,6439,0,
dijkstra,binary,snap,snap_ca-GrQc,4158,"dataset=ca-GrQc,component=largest,max_edges=50000",2,2079,469464.0,84433,0,2283,469464.0,26844,4158,6.455988455988456,False,81,13422,4158,4158,0,0,,0,1452,0,4158,4158,13422,2283,,6440,39212,
dijkstra,pairing,snap,snap_ca-GrQc,4158,"dataset=ca-GrQc,component=largest,max_edges=50000",2,2079,469464.0,68025,2283,2283,469464.0,26844,4158,6.455988455988456,False,81,13422,4158,4158,65742,65742,,4158,1452,66102,4158,4158,13422,2283,,6440,0,
dijkstra,fibonacci,snap,snap_ca-GrQc,4158,"dataset=ca-GrQc,component=largest,max_edges=50000",2,2079,469464.0,100034,879,2283,469464.0,26844,4158,6.455988455988456,False,81,13422,4158,4158,35547,0,,4158,1452,221217,4158,4158,13422,2283,,6440,0,
dijkstra,binary,snap,snap_ca-GrQc,4158,"dataset=ca-GrQc,component=largest,max_edges=50000",2,4157,760264.0,83635,0,2279,760264.0,26844,4158,6.455988455988456,False,81,13422,4158,4158,0,0,,0,1517,0,4158,4158,13422,2279,,6436,38672,
dijkstra,pairing,snap,snap_ca-GrQc,4158,"dataset=ca-GrQc,component=largest,max_edges=50000",2,4157,760264.0,67662,2279,2279,760264.0,26844,4158,6.455988455988456,False,81,13422,4158,4158,65383,65383,,4158,1517,65809,4158,4158,13422,2279,,6436,0,
dijkstra,fibonacci,snap,snap_ca-GrQc,4158,"dataset=ca-GrQc,component=largest,max_edges=50000",2,4157,760264.0,99230,875,2279,760264.0,26844,4158,6.455988455988456,False,81,13422,4158,4158,35130,0,,4158,1517,219238,4158,4158,13422,2279,,6436,0,
prim,binary,snap,snap_ca-GrQc,4158,"dataset=ca-GrQc,component=largest,max_edges=50000",2,0,72285.0,101983,0,3291,,26844,4158,6.455988455988456,False,81,13422,4158,4158,0,0,72285.0,0,1413,0,,,,3291,7448,,56262,4158
prim,pairing,snap,snap_ca-GrQc,4158,"dataset=ca-GrQc,component=largest,max_edges=50000",2,0,72285.0,44629,3237,3291,,26844,4158,6.455988455988456,False,81,13422,4158,4158,41338,41338,72285.0,4158,1413,44354,,,,3291,7448,,0,4158
prim,fibonacci,snap,snap_ca-GrQc,4158,"dataset=ca-GrQc,component=largest,max_edges=50000",2,0,72285.0,75286,1982,3291,,26844,4158,6.455988455988456,False,81,13422,4158,4158,21929,0,72285.0,4158,1413,153002,,,,3291,7448,,0,4158
dijkstra,binary,snap,snap_ca-GrQc,4158,"dataset=ca-GrQc,component=largest,max_edges=50000",3,0,411618.0,84037,0,2200,411618.0,26844,4158,6.455988455988456,False,81,13422,4158,4158,0,0,,0,1552,0,4158,4158,13422,2200,,6357,39058,
dijkstra,pairing,snap,snap_ca-GrQc,4158,"dataset=ca-GrQc,component=largest,max_edges=50000",3,0,411618.0,67752,2200,2200,411618.0,26844,4158,6.455988455988456,False,81,13422,4158,4158,65552,65552,,4158,1552,65926,4158,4158,13422,2200,,6357,0,
dijkstra,fibonacci,snap,snap_ca-GrQc,4158,"dataset=ca-GrQc,component=largest,max_edges=50000",3,0,411618.0,99714,869,2200,411618.0,26844,4158,6.455988455988456,False,81,13422,4158,4158,35527,0,,4158,1552,221022,4158,4158,13422,2200,,6357,0,
dijkstra,binary,snap,snap_ca-GrQc,4158,"dataset=ca-GrQc,component=largest,max_edges=50000",3,2079,736669.0,83857,0,2187,736669.0,26844,4158,6.455988455988456,False,81,13422,4158,4158,0,0,,0,1464,0,4158,4158,13422,2187,,6344,38865,
dijkstra,pairing,snap,snap_ca-GrQc,4158,"dataset=ca-GrQc,component=largest,max_edges=50000",3,2079,736669.0,67663,2187,2187,736669.0,26844,4158,6.455988455988456,False,81,13422,4158,4158,65476,65476,,4158,1464,65704,4158,4158,13422,2187,,6344,0,
dijkstra,fibonacci,snap,snap_ca-GrQc,4158,"dataset=ca-GrQc,component=largest,max_edges=50000",3,2079,736669.0,99548,885,2187,736669.0,26844,4158,6.455988455988456,False,81,13422,4158,4158,35327,0,,4158,1464,220630,4158,4158,13422,2187,,6344,0,
dijkstra,binary,snap,snap_ca-GrQc,4158,"dataset=ca-GrQc,component=largest,max_edges=50000",3,4157,808818.0,83213,0,2180,808818.0,26844,4158,6.455988455988456,False,81,13422,4158,4158,0,0,,0,1459,0,4158,4158,13422,2180,,6337,38641,
dijkstra,pairing,snap,snap_ca-GrQc,4158,"dataset=ca-GrQc,component=largest,max_edges=50000",3,4157,808818.0,66924,2180,2180,808818.0,26844,4158,6.455988455988456,False,81,13422,4158,4158,64744,64744,,4158,1459,65117,4158,4158,13422,2180,,6337,0,
dijkstra,fibonacci,snap,snap_ca-GrQc,4158,"dataset=ca-GrQc,component=largest,max_edges=50000",3,4157,808818.0,98836,893,2180,808818.0,26844,4158,6.455988455988456,False,81,13422,4158,4158,35108,0,,4158,1459,219033,4158,4158,13422,2180,,6337,0,
prim,binary,snap,snap_ca-GrQc,4158,"dataset=ca-GrQc,component=largest,max_edges=50000",3,0,73418.0,100975,0,3206,,26844,4158,6.455988455988456,False,81,13422,4158,4158,0,0,73418.0,0,1517,0,,,,3206,7363,,55594,4158
prim,pairing,snap,snap_ca-GrQc,4158,"dataset=ca-GrQc,component=largest,max_edges=50000",3,0,73418.0,45189,3146,3206,,26844,4158,6.455988455988456,False,81,13422,4158,4158,41983,41983,73418.0,4158,1517,44826,,,,3206,7363,,0,4158
prim,fibonacci,snap,snap_ca-GrQc,4158,"dataset=ca-GrQc,component=largest,max_edges=50000",3,0,73418.0,76328,1958,3206,,26844,4158,6.455988455988456,False,81,13422,4158,4158,22292,0,73418.0,4158,1517,155911,,,,3206,7363,,0,4158
dijkstra,binary,snap,snap_ca-GrQc,4158,"dataset=ca-GrQc,component=largest,max_edges=50000",4,0,328291.0,84182,0,2224,328291.0,26844,4158,6.455988455988456,False,81,13422,4158,4158,0,0,,0,1515,0,4158,4158,13422,2224,,6381,39131,
dijkstra,pairing,snap,snap_ca-GrQc,4158,"dataset=ca-GrQc,component=largest,max_edges=50000",4,0,328291.0,67614,2224,2224,328291.0,26844,4158,6.455988455988456,False,81,13422,4158,4158,65390,65390,,4158,1515,65714,4158,4158,13422,2224,,6381,0,
dijkstra,fibonacci,snap,snap_ca-GrQc,4158,"dataset=ca-GrQc,component=largest,max_edges=50000",4,0,328291.0,99502,878,2224,328291.0,26844,4158,6.455988455988456,False,81,13422,4158,4158,35415,0,,4158,1515,220401,4158,4158,13422,2224,,6381,0,
dijkstra,binary,snap,snap_ca-GrQc,4158,"dataset=ca-GrQc,component=largest,max_edges=50000",4,2079,588025.0,84091,0,2205,588025.0,26844,4158,6.455988455988456,False,81,13422,4158,4158,0,0,,0,1547,0,4158,4158,13422,2205,,6362,39118,
dijkstra,pairing,snap,snap_ca-GrQc,4158,"dataset=ca-GrQc,component=largest,max_edges=50000",4,2079,588025.0,67620,2205,2205,588025.0,26844,4158,6.455988455988456,False,81,13422,4158,4158,65415,65415,,4158,1547,65817,4158,4158,13422,2205,,6362,0,
dijkstra,fibonacci,snap,snap_ca-GrQc,4158,"dataset=ca-GrQc,component=largest,max_edges=50000",4,2079,588025.0,99607,851,2205,588025.0,26844,4158,6.455988455988456,False,81,13422,4158,4158,35266,0,,4158,1547,220582,4158,4158,13422,2205,,6362,0,
dijkstra,binary,snap,snap_ca-GrQc,4158,"dataset=ca-GrQc,component=largest,max_edges=50000",4,4157,902678.0,83534,0,2220,902678.0,26844,4158,6.455988455988456,False,81,13422,4158,4158,0,0,,0,1461,0,4158,4158,13422,2220,,6377,38803,
dijkstra,pairing,snap,snap_ca-GrQc,4158,"dataset=ca-GrQc,component=largest,max_edges=50000",4,4157,902678.0,67102,2220,2220,902678.0,26844,4158,6.455988455988456,False,81,13422,4158,4158,64882,64882,,4158,1461,65376,4158,4158,13422,2220,,6377,0,
dijkstra,fibonacci,snap,snap_ca-GrQc,4158,"dataset=ca-GrQc,component=largest,max_edges=50000",4,4157,902678.0,98998,898,2220,902678.0,26844,4158,6.455988455988456,False,81,13422,4158,4158,34984,0,,4158,1461,218922,4158,4158,13422,2220,,6377,0,
prim,binary,snap,snap_ca-GrQc,4158,"dataset=ca-GrQc,component=largest,max_edges=50000",4,0,74467.0,101208,0,3245,,26844,4158,6.455988455988456,False,81,13422,4158,4158,0,0,74467.0,0,1435,0,,,,3245,7402,,55785,4158
prim,pairing,snap,snap_ca-GrQc,4158,"dataset=ca-GrQc,component=largest,max_edges=50000",4,0,74467.0,44723,3202,3245,,26844,4158,6.455988455988456,False,81,13422,4158,4158,41478,41478,74467.0,4158,1435,44597,,,,3245,7402,,0,4158
prim,fibonacci,snap,snap_ca-GrQc,4158,"dataset=ca-GrQc,component=largest,max_edges=50000",4,0,74467.0,74969,1946,3245,,26844,4158,6.455988455988456,False,81,13422,4158,4158,22005,0,74467.0,4158,1435,152741,,,,3245,7402,,0,4158
dijkstra,binary,snap,snap_ca-GrQc,4158,"dataset=ca-GrQc,component=largest,max_edges=50000",5,0,465740.0,84241,0,2244,465740.0,26844,4158,6.455988455988456,False,81,13422,4158,4158,0,0,,0,1506,0,4158,4158,13422,2244,,6401,38992,
dijkstra,pairing,snap,snap_ca-GrQc,4158,"dataset=ca-GrQc,component=largest,max_edges=50000",5,0,465740.0,67930,2244,2244,465740.0,26844,4158,6.455988455988456,False,81,13422,4158,4158,65686,65686,,4158,1506,66180,4158,4158,13422,2244,,6401,0,
dijkstra,fibonacci,snap,snap_ca-GrQc,4158,"dataset=ca-GrQc,component=largest,max_edges=50000",5,0,465740.0,99832,880,2244,465740.0,26844,4158,6.455988455988456,False,81,13422,4158,4158,35193,0,,4158,1506,220662,4158,4158,13422,2244,,6401,0,
dijkstra,binary,snap,snap_ca-GrQc,4158,"dataset=ca-GrQc,component=largest,max_edges=50000",5,2079,432038.0,83885,0,2252,432038.0,26844,4158,6.455988455988456,False,81,13422,4158,4158,0,0,,0,1473,0,4158,4158,13422,2252,,6409,38880,
dijkstra,pairing,snap,snap_ca-GrQc,4158,"dataset=ca-GrQc,component=largest,max_edges=50000",5,2079,432038.0,67797,2252,2252,432038.0,26844,4158,6.455988455988456,False,81,13422,4158,4158,65545,65545,,4158,1473,66298,4158,4158,13422,2252,,6409,0,
dijkstra,fibonacci,snap,snap_ca-GrQc,4158,"dataset=ca-GrQc,component=largest,max_edges=50000",5,2079,432038.0,99557,844,2252,432038.0,26844,4158,6.455988455988456,False,81,13422,4158,4158,35251,0,,4158,1473,220158,4158,4158,13422,2252,,6409,0,
