algorithm,graph_family,graph_size,graph_parameters,heap_type,row_count,mean_comparison_count,mean_cut_count,mean_decrease_key_per_extract,mean_edge_scan_per_extract,mean_link_count,mean_meld_count,mean_peak_heap_size,mean_successful_decrease_key_rate,mean_successful_relax_rate,mean_swap_count
dijkstra,dense_er_np,100,"n=100,p=0.08",binary,30,1216.4666666666667,0.0,0.9319999999999998,9.686000000000003,0.0,0.0,69.4,1.0,0.39703242849637627,526.6
dijkstra,dense_er_np,100,"n=100,p=0.08",fibonacci,30,1431.2,34.166666666666664,0.9319999999999998,9.686000000000003,427.76666666666665,0.0,69.4,1.0,0.39703242849637627,0.0
dijkstra,dense_er_np,100,"n=100,p=0.08",pairing,30,1034.2666666666667,93.16666666666667,0.9319999999999998,9.686000000000003,941.0666666666667,941.0666666666667,69.4,1.0,0.39703242849637627,0.0
dijkstra,dense_er_np,25,"n=25,p=0.2",binary,30,175.26666666666668,0.0,0.6560000000000001,6.5520000000000005,0.0,0.0,16.466666666666665,1.0,0.49589254195755134,72.26666666666667
dijkstra,dense_er_np,25,"n=25,p=0.2",fibonacci,30,200.5,5.966666666666667,0.6560000000000001,6.5520000000000005,52.666666666666664,0.0,16.466666666666665,1.0,0.49589254195755134,0.0
dijkstra,dense_er_np,25,"n=25,p=0.2",pairing,30,140.93333333333334,16.166666666666668,0.6560000000000001,6.5520000000000005,124.53333333333333,124.53333333333333,16.466666666666665,1.0,0.49589254195755134,0.0
dijkstra,dense_er_np,50,"n=50,p=0.12",binary,30,477.06666666666666,0.0,0.7873333333333332,7.923999999999999,0.0,0.0,33.4,1.0,0.44722093948514574,202.33333333333334
dijkstra,dense_er_np,50,"n=50,p=0.12",fibonacci,30,559.3,15.7,0.7873333333333332,7.923999999999999,161.13333333333333,0.0,33.4,1.0,0.44722093948514574,0.0
dijkstra,dense_er_np,50,"n=50,p=0.12",pairing,30,394.6666666666667,39.3,0.7873333333333332,7.923999999999999,355.3,355.3,33.4,1.0,0.44722093948514574,0.0
dijkstra,grid_2d,100,"rows=10,cols=10",binary,30,655.9,0.0,0.2646666666666666,3.5999999999999983,0.0,0.0,16.9,1.0,0.697037037037037,280.43333333333334
dijkstra,grid_2d,100,"rows=10,cols=10",fibonacci,30,763.1333333333333,9.366666666666667,0.2646666666666666,3.5999999999999983,235.7,0.0,16.9,1.0,0.697037037037037,0.0
dijkstra,grid_2d,100,"rows=10,cols=10",pairing,30,508.3,25.766666666666666,0.2646666666666666,3.5999999999999983,481.8333333333333,481.8333333333333,16.9,1.0,0.697037037037037,0.0
dijkstra,grid_2d,25,"rows=5,cols=5",binary,30,106.06666666666666,0.0,0.22666666666666677,3.2000000000000015,0.0,0.0,8.3,1.0,0.7416666666666669,43.96666666666667
dijkstra,grid_2d,25,"rows=5,cols=5",fibonacci,30,119.26666666666667,2.1,0.22666666666666677,3.2000000000000015,33.766666666666666,0.0,8.3,1.0,0.7416666666666669,0.0
dijkstra,grid_2d,25,"rows=5,cols=5",pairing,30,81.2,5.3,0.22666666666666677,3.2000000000000015,75.53333333333333,75.53333333333333,8.3,1.0,0.7416666666666669,0.0
dijkstra,grid_2d,64,"rows=8,cols=8",binary,30,367.2,0.0,0.2515625,3.5,0.0,0.0,12.866666666666667,1.0,0.70625,155.03333333333333
dijkstra,grid_2d,64,"rows=8,cols=8",fibonacci,30,427.6333333333333,5.066666666666666,0.2515625,3.5,131.26666666666668,0.0,12.866666666666667,1.0,0.70625,0.0
dijkstra,grid_2d,64,"rows=8,cols=8",pairing,30,287.96666666666664,15.633333333333333,0.2515625,3.5,271.8666666666667,271.8666666666667,12.866666666666667,1.0,0.70625,0.0
dijkstra,sparse_er_nm,100,"n=100,m=300",binary,30,1070.0,0.0,0.5616666666666666,6.0,0.0,0.0,55.86666666666667,1.0,0.5172222222222224,474.1666666666667
dijkstra,sparse_er_nm,100,"n=100,m=300",fibonacci,30,1232.0333333333333,21.3,0.5616666666666666,6.0,383.96666666666664,0.0,55.86666666666667,1.0,0.5172222222222224,0.0
dijkstra,sparse_er_nm,100,"n=100,m=300",pairing,30,873.3333333333334,56.06666666666667,0.5616666666666666,6.0,817.1666666666666,817.1666666666666,55.86666666666667,1.0,0.5172222222222224,0.0
dijkstra,sparse_er_nm,25,"n=25,m=75",binary,30,167.1,0.0,0.5506666666666666,6.0,0.0,0.0,15.7,1.0,0.5035555555555555,69.7
dijkstra,sparse_er_nm,25,"n=25,m=75",fibonacci,30,193.23333333333332,4.833333333333333,0.5506666666666666,6.0,52.86666666666667,0.0,15.7,1.0,0.5035555555555555,0.0
dijkstra,sparse_er_nm,25,"n=25,m=75",pairing,30,132.6,13.466666666666667,0.5506666666666666,6.0,118.83333333333333,118.83333333333333,15.7,1.0,0.5035555555555555,0.0
dijkstra,sparse_er_nm,50,"n=50,m=150",binary,30,444.2,0.0,0.628,6.0,0.0,0.0,29.9,1.0,0.5360000000000001,189.93333333333334
