algorithm,graph_source,graph_family,graph_size,graph_parameters,heap_type,row_count,runtime_measurement,rss_measurement,max_edge_scan_count,max_max_rss_kbytes,max_max_runtime_ms,max_mean_runtime_ms,max_median_max_rss_kbytes,max_median_runtime_ms,max_min_runtime_ms,max_priority_queue_memory_bytes,max_relax_attempt_count,max_runtime_ms,max_successful_key_update_count,max_successful_relax_count,mean_edge_scan_count,mean_max_rss_kbytes,mean_max_runtime_ms,mean_mean_runtime_ms,mean_median_max_rss_kbytes,mean_median_runtime_ms,mean_min_runtime_ms,mean_priority_queue_memory_bytes,mean_relax_attempt_count,mean_runtime_ms,mean_successful_key_update_count,mean_successful_relax_count,median_edge_scan_count,median_max_rss_kbytes,median_max_runtime_ms,median_mean_runtime_ms,median_median_max_rss_kbytes,median_median_runtime_ms,median_min_runtime_ms,median_priority_queue_memory_bytes,median_relax_attempt_count,median_runtime_ms,median_successful_key_update_count,median_successful_relax_count,min_edge_scan_count,min_max_rss_kbytes,min_max_runtime_ms,min_mean_runtime_ms,min_median_max_rss_kbytes,min_median_runtime_ms,min_min_runtime_ms,min_priority_queue_memory_bytes,min_relax_attempt_count,min_runtime_ms,min_successful_key_update_count,min_successful_relax_count
dijkstra,synthetic,dense_er_np,100,"n=100,p=0.18",fibonacci,30,in_process_steady_clock,child_process_wait4,2004.0,22136.0,0.206757,0.145048,22136.0,0.134931,0.12006,6912.0,1002.0,0.134931,,271.0,1933.6,13326.8,0.1734414333333333,0.13387833333333335,13326.8,0.12153856666666667,0.10665496666666668,6912.0,966.8,0.12153856666666667,,250.3,1928.0,12348.0,0.171037,0.1329085,12348.0,0.12089649999999999,0.1053355,6912.0,964.0,0.12089649999999999,,248.5,1870.0,12348.0,0.164148,0.128982,12348.0,0.116336,0.100994,6912.0,935.0,0.116336,,229.0
dijkstra,synthetic,dense_er_np,100,"n=100,p=0.18",pairing,30,in_process_steady_clock,child_process_wait4,2004.0,22136.0,0.179649,0.132332,22136.0,0.131613,0.111846,5600.0,1002.0,0.131613,,271.0,1933.6,13326.8,0.1627619666666667,0.12512979999999999,13326.8,0.1151625,0.09746459999999997,5600.0,966.8,0.1151625,,250.3,1928.0,12348.0,0.161713,0.124762,12348.0,0.11418500000000001,0.0968765,5600.0,964.0,0.11418500000000001,,248.5,1870.0,12348.0,0.154716,0.119625,12348.0,0.110262,0.092947,5600.0,935.0,0.110262,,229.0
dijkstra,synthetic,dense_er_np,25,"n=25,p=0.35",binary,30,in_process_steady_clock,child_process_wait4,266.0,22136.0,0.050331,0.023945,22136.0,0.021896,0.013016,612.0,133.0,0.021896,,52.0,239.2,13326.8,0.03478633333333333,0.01867659,13326.8,0.013633233333333333,0.007610199999999999,612.0,119.6,0.013633233333333333,,45.233333333333334,233.0,12348.0,0.034764500000000004,0.01873215,12348.0,0.0134235,0.007324499999999999,612.0,116.5,0.0134235,,45.5,216.0,12348.0,0.02875,0.0158677,12348.0,0.011606,0.006525,612.0,108.0,0.011606,,37.0
dijkstra,synthetic,dense_er_np,25,"n=25,p=0.35",fibonacci,30,in_process_steady_clock,child_process_wait4,266.0,22136.0,0.058652,0.028229,22136.0,0.019309,0.014673,2112.0,133.0,0.019309,,52.0,239.2,13326.8,0.04986826666666667,0.02602954,13326.8,0.016482966666666668,0.011737400000000002,2112.0,119.6,0.016482966666666668,,45.233333333333334,233.0,12348.0,0.049751500000000004,0.026026,12348.0,0.0161945,0.0115955,2112.0,116.5,0.0161945,,45.5,216.0,12348.0,0.044664,0.023478,12348.0,0.014554,0.010284,2112.0,108.0,0.014554,,37.0
dijkstra,synthetic,dense_er_np,25,"n=25,p=0.35",pairing,30,in_process_steady_clock,child_process_wait4,266.0,22136.0,0.053542,0.0282847,22136.0,0.022141,0.018434,1400.0,133.0,0.022141,,52.0,239.2,13326.8,0.045250233333333334,0.025536473333333334,13326.8,0.01885276666666667,0.012506433333333334,1400.0,119.6,0.01885276666666667,,45.233333333333334,233.0,12348.0,0.044327000000000005,0.025499149999999998,12348.0,0.018903,0.0123,1400.0,116.5,0.018903,,45.5,216.0,12348.0,0.040129,0.02303,12348.0,0.016639,0.01125,1400.0,108.0,0.016639,,37.0
dijkstra,synthetic,dense_er_np,50,"n=50,p=0.25",binary,30,in_process_steady_clock,child_process_wait4,706.0,22136.0,0.074386,0.0412033,22136.0,0.040987,0.021451,1224.0,353.0,0.040987,,124.0,670.2,13326.8,0.05982653333333332,0.03678018333333334,13326.8,0.0309375,0.01957653333333333,1224.0,335.1,0.0309375,,108.56666666666666,665.0,12348.0,0.0591165,0.03686415,12348.0,0.030398,0.0197335,1224.0,332.5,0.030398,,109.0,634.0,12348.0,0.052747,0.0327403,12348.0,0.027915,0.017547,1224.0,317.0,0.027915,,97.0
dijkstra,synthetic,dense_er_np,50,"n=50,p=0.25",fibonacci,30,in_process_steady_clock,child_process_wait4,706.0,22136.0,0.103321,0.0620863,22136.0,0.054163,0.046788,3712.0,353.0,0.054163,,124.0,670.2,13326.8,0.08860390000000003,0.056483773333333334,13326.8,0.045537233333333337,0.03531019999999999,3712.0,335.1,0.045537233333333337,,108.56666666666666,665.0,12348.0,0.086985,0.055408,12348.0,0.044846,0.0349335,3712.0,332.5,0.044846,,109.0,634.0,12348.0,0.083053,0.0524613,12348.0,0.041754,0.031638,3712.0,317.0,0.041754,,97.0
dijkstra,synthetic,dense_er_np,50,"n=50,p=0.25",pairing,30,in_process_steady_clock,child_process_wait4,706.0,22136.0,0.109892,0.0615427,22136.0,0.057585,0.036108,2800.0,353.0,0.057585,,124.0,670.2,13326.8,0.08267663333333333,0.05381391666666667,13326.8,0.04536070000000002,0.0334044,2800.0,335.1,0.04536070000000002,,108.56666666666666,665.0,12348.0,0.08040449999999999,0.05351485,12348.0,0.045128,0.033551,2800.0,332.5,0.045128,,109.0,634.0,12348.0,0.074193,0.0487607,12348.0,0.040417,0.030375,2800.0,317.0,0.040417,,97.0
dijkstra,synthetic,dijkstra_decrease_key_stress,1051,"k=50,r=1000,C=1001,B=51101,rank=alternating_reverse",binary,1,in_process_steady_clock,child_process_wait4,51050.0,22136.0,3.80028,3.62461,22136.0,3.67758,3.39598,36972.0,51050.0,3.67758,,51050.0,51050.0,22136.0,3.80028,3.62461,22136.0,3.67758,3.39598,36972.0,51050.0,3.67758,,51050.0,51050.0,22136.0,3.80028,3.62461,22136.0,3.67758,3.39598,36972.0,51050.0,3.67758,,51050.0,51050.0,22136.0,3.80028,3.62461,22136.0,3.67758,3.39598,36972.0,51050.0,3.67758,,51050.0
dijkstra,synthetic,dijkstra_decrease_key_stress,1051,"k=50,r=1000,C=1001,B=51101,rank=alternating_reverse",fibonacci,1,in_process_steady_clock,child_process_wait4,51050.0,22136.0,4.72873,4.34637,22136.0,4.63118,3.67919,67776.0,51050.0,4.63118,,51050.0,51050.0,22136.0,4.72873,4.34637,22136.0,4.63118,3.67919,67776.0,51050.0,4.63118,,51050.0,51050.0,22136.0,4.72873,4.34637,22136.0,4.63118,3.67919,67776.0,51050.0,4.63118,,51050.0,51050.0,22136.0,4.72873,4.34637,22136.0,4.63118,3.67919,67776.0,51050.0,4.63118,,51050.0
dijkstra,synthetic,dijkstra_decrease_key_stress,1051,"k=50,r=1000,C=1001,B=51101,rank=alternating_reverse",pairing,1,in_process_steady_clock,child_process_wait4,51050.0,22136.0,2.60027,2.59546,22136.0,2.59789,2.58823,58856.0,51050.0,2.59789,,51050.0,51050.0,22136.0,2.60027,2.59546,22136.0,2.59789,2.58823,58856.0,51050.0,2.59789,,51050.0,51050.0,22136.0,2.60027,2.59546,22136.0,2.59789,2.58823,58856.0,51050.0,2.59789,,51050.0,51050.0,22136.0,2.60027,2.59546,22136.0,2.59789,2.58823,58856.0,51050.0,2.59789,,51050.0
dijkstra,synthetic,dijkstra_decrease_key_stress,2002,"k=1,r=2000,C=2001,B=4003,rank=alternating_reverse",binary,1,in_process_steady_clock,child_process_wait4,4001.0,22136.0,0.911548,0.822917,22136.0,0.786803,0.770401,40776.0,4001.0,0.786803,,4001.0,4001.0,22136.0,0.911548,0.822917,22136.0,0.786803,0.770401,40776.0,4001.0,0.786803,,4001.0,4001.0,22136.0,0.911548,0.822917,22136.0,0.786803,0.770401,40776.0,4001.0,0.786803,,4001.0,4001.0,22136.0,0.911548,0.822917,22136.0,0.786803,0.770401,40776.0,4001.0,0.786803,,4001.0
dijkstra,synthetic,dijkstra_decrease_key_stress,2002,"k=1,r=2000,C=2001,B=4003,rank=alternating_reverse",fibonacci,1,in_process_steady_clock,child_process_wait4,4001.0,22136.0,0.790951,0.668096,22136.0,0.60998,0.603356,128640.0,4001.0,0.60998,,4001.0,4001.0,22136.0,0.790951,0.668096,22136.0,0.60998,0.603356,128640.0,4001.0,0.60998,,4001.0,4001.0,22136.0,0.790951,0.668096,22136.0,0.60998,0.603356,128640.0,4001.0,0.60998,,4001.0,4001.0,22136.0,0.790951,0.668096,22136.0,0.60998,0.603356,128640.0,4001.0,0.60998,,4001.0
dijkstra,synthetic,dijkstra_decrease_key_stress,2002,"k=1,r=2000,C=2001,B=4003,rank=alternating_reverse",pairing,1,in_process_steady_clock,child_process_wait4,4001.0,22136.0,0.771643,0.672746,22136.0,0.624253,0.622343,112112.0,4001.0,0.624253,,4001.0,4001.0,22136.0,0.771643,0.672746,22136.0,0.624253,0.622343,112112.0,4001.0,0.624253,,4001.0,4001.0,22136.0,0.771643,0.672746,22136.0,0.624253,0.622343,112112.0,4001.0,0.624253,,4001.0,4001.0,22136.0,0.771643,0.672746,22136.0,0.624253,0.622343,112112.0,4001.0,0.624253,,4001.0
dijkstra,synthetic,dijkstra_decrease_key_stress,2101,"k=100,r=2000,C=2001,B=202201,rank=alternating_reverse",binary,1,in_process_steady_clock,child_process_wait4,202100.0,22136.0,14.27,10.2647,22136.0,9.506,7.01816,73940.0,202100.0,9.506,,202100.0,202100.0,22136.0,14.27,10.2647,22136.0,9.506,7.01816,73940.0,202100.0,9.506,,202100.0,202100.0,22136.0,14.27,10.2647,22136.0,9.506,7.01816,73940.0,202100.0,9.506,,202100.0,202100.0,22136.0,14.27,10.2647,22136.0,9.506,7.01816,73940.0,202100.0,9.506,,202100.0
dijkstra,synthetic,dijkstra_decrease_key_stress,2101,"k=100,r=2000,C=2001,B=202201,rank=alternating_reverse",fibonacci,1,in_process_steady_clock,child_process_wait4,202100.0,22136.0,17.6552,11.8268,22136.0,10.4731,7.35199,134976.0,202100.0,10.4731,,202100.0,202100.0,22136.0,17.6552,11.8268,22136.0,10.4731,7.35199,134976.0,202100.0,10.4731,,202100.0,202100.0,22136.0,17.6552,11.8268,22136.0,10.4731,7.35199,134976.0,202100.0,10.4731,,202100.0,202100.0,22136.0,17.6552,11.8268,22136.0,10.4731,7.35199,134976.0,202100.0,10.4731,,202100.0
